index,mse,step3,step4,Dataset,Status,Method
0,0.0276499976819057,0.0276499976819057,0.0276499976819057,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
1,0.0179154206249538,0.0179154206249538,0.0179154206249538,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
2,0.0148859159595778,0.0148859159595778,0.0148859159595778,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
3,0.0129197347883904,0.0129197347883904,0.0129197347883904,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
4,0.008568123171521,0.008568123171521,0.008568123171521,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
5,0.0062781251921399,0.0062781251921399,0.0062781251921399,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
6,0.0053935734110975,0.0053935734110975,0.0053935734110975,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
7,0.0048107086227822,0.0048107086227822,0.0048107086227822,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
8,0.0050766200776232,0.0050766200776232,0.0050766200776232,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
9,0.0051289527555522,0.0051289527555522,0.0051289527555522,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
10,0.0057196075767379,0.0057196075767379,0.0057196075767379,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
11,0.0047563261311987,0.0047563261311987,0.0047563261311987,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
12,0.0048809706185357,0.0048809706185357,0.0048809706185357,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
13,0.0048765235426127,0.0048765235426127,0.0048765235426127,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
14,0.0041954156994546,0.0041954156994546,0.0041954156994546,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
15,0.0033304860668621,0.0033304860668621,0.0033304860668621,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
16,0.0031291339085842,0.0031291339085842,0.0031291339085842,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
17,0.0028671055388733,0.0028671055388733,0.0028671055388733,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
18,0.0025037587925908,0.0025037587925908,0.0025037587925908,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
19,0.0024275825548102,0.0024275825548102,0.0024275825548102,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
20,0.0022342637047784,0.0022342637047784,0.0022342637047784,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
21,0.002155691632019,0.002155691632019,0.002155691632019,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
22,0.0020238502680592,0.0020238502680592,0.0020238502680592,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
23,0.0018911356158913,0.0018911356158913,0.0018911356158913,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
24,0.0018379413124184,0.0018379413124184,0.0018379413124184,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
25,0.0018473444868425,0.0018473444868425,0.0018473444868425,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
26,0.0017043951152869,0.0017043951152869,0.0017043951152869,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
27,0.0015712117896486,0.0015712117896486,0.0015712117896486,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
28,0.0016364547825777,0.0016364547825777,0.0016364547825777,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
29,0.0015217951394531,0.0015217951394531,0.0015217951394531,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
30,0.0014181927133746,0.0014181927133746,0.0014181927133746,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
31,0.0014015351385118,0.0014015351385118,0.0014015351385118,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
32,0.0013158890677795,0.0013158890677795,0.0013158890677795,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
33,0.0012968784757148,0.0012968784757148,0.0012968784757148,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
34,0.0012837591594016,0.0012837591594016,0.0012837591594016,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
35,0.0012894197060908,0.0012894197060908,0.0012894197060908,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
36,0.0011564290545167,0.0011564290545167,0.0011564290545167,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
37,0.0011809578351423,0.0011809578351423,0.0011809578351423,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
38,0.0011497340498507,0.0011497340498507,0.0011497340498507,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
39,0.0011065199824098,0.0011065199824098,0.0011065199824098,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
40,0.0010639174112799,0.0010639174112799,0.0010639174112799,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
41,0.0010638253159413,0.0010638253159413,0.0010638253159413,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
42,0.0010060704229386,0.0010060704229386,0.0010060704229386,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
43,0.0010421031711461,0.0010421031711461,0.0010421031711461,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
44,0.0009878721910986,0.0009878721910986,0.0009878721910986,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
45,0.0010163365513068,0.0010163365513068,0.0010163365513068,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
46,0.0009324801662802,0.0009324801662802,0.0009324801662802,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
47,0.0009550500506441,0.0009550500506441,0.0009550500506441,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
48,0.0009417788187894,0.0009417788187894,0.0009417788187894,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
49,0.0009057146880798,0.0009057146880798,0.0009057146880798,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
50,0.0009066467280006,0.0009066467280006,0.0009066467280006,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
51,0.000896656929905,0.000896656929905,0.000896656929905,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
52,0.0009083601518005,0.0009083601518005,0.0009083601518005,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
53,0.0008439871436364,0.0008439871436364,0.0008439871436364,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
54,0.0008919398752724,0.0008919398752724,0.0008919398752724,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
55,0.0008398000567546,0.0008398000567546,0.0008398000567546,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
56,0.0008388441599495,0.0008388441599495,0.0008388441599495,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
57,0.0007936975998745,0.0007936975998745,0.0007936975998745,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
58,0.0008091545625179,0.0008091545625179,0.0008091545625179,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
59,0.0007950366308448,0.0007950366308448,0.0007950366308448,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
60,0.0008150107024488,0.0008150107024488,0.0008150107024488,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
61,0.0008234768094236,0.0008234768094236,0.0008234768094236,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
62,0.0008026205453421,0.0008026205453421,0.0008026205453421,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
63,0.0007630409801609,0.0007630409801609,0.0007630409801609,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
64,0.0007582321276656,0.0007582321276656,0.0007582321276656,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
65,0.0007382491063965,0.0007382491063965,0.0007382491063965,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
66,0.0007805782032253,0.0007805782032253,0.0007805782032253,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
67,0.0007446699984543,0.0007446699984543,0.0007446699984543,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
68,0.0007323901545295,0.0007323901545295,0.0007323901545295,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
69,0.0007429191854854,0.0007429191854854,0.0007429191854854,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
70,0.0007271011605157,0.0007271011605157,0.0007271011605157,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
71,0.0007388844178184,0.0007388844178184,0.0007388844178184,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
72,0.0007014031294206,0.0007014031294206,0.0007014031294206,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
73,0.0006710221588076,0.0006710221588076,0.0006710221588076,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
74,0.0006984031581257,0.0006984031581257,0.0006984031581257,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
75,0.0007014432588418,0.0007014432588418,0.0007014432588418,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
76,0.0006868733544726,0.0006868733544726,0.0006868733544726,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
77,0.00069611747485,0.00069611747485,0.00069611747485,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
78,0.0006770263417939,0.0006770263417939,0.0006770263417939,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
79,0.0006716139547042,0.0006716139547042,0.0006716139547042,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
80,0.0005899255428274,0.0005899255428274,0.0005899255428274,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
81,0.0005654245897502,0.0005654245897502,0.0005654245897502,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
82,0.0005856011128739,0.0005856011128739,0.0005856011128739,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
83,0.0005814416120657,0.0005814416120657,0.0005814416120657,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
84,0.0005802213865694,0.0005802213865694,0.0005802213865694,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
85,0.0005690843658869,0.0005690843658869,0.0005690843658869,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
86,0.0005654706276444,0.0005654706276444,0.0005654706276444,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
87,0.0005582378667579,0.0005582378667579,0.0005582378667579,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
88,0.0005507875797933,0.0005507875797933,0.0005507875797933,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
89,0.0005505023077959,0.0005505023077959,0.0005505023077959,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
90,0.0005549214138939,0.0005549214138939,0.0005549214138939,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
91,0.000552522957435,0.000552522957435,0.000552522957435,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
92,0.0005554221473531,0.0005554221473531,0.0005554221473531,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
93,0.0005459835351876,0.0005459835351876,0.0005459835351876,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
94,0.0005256721693117,0.0005256721693117,0.0005256721693117,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
95,0.0005285692143408,0.0005285692143408,0.0005285692143408,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
96,0.0005513358853932,0.0005513358853932,0.0005513358853932,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
97,0.0005248494800426,0.0005248494800426,0.0005248494800426,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
98,0.0005351338554369,0.0005351338554369,0.0005351338554369,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
99,0.0005255538643446,0.0005255538643446,0.0005255538643446,CMU,Uncorrupted,HyperSteg-ImagNet-finetuned
